Att1,Att2,Att3,Att4,Att5,target
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,0
0.43189165,0.5155535,0.5199768,0.52990013,0.5669253,0
0.43184832,0.5155797,0.5199681,0.5298943,0.566968,0
0.43138084,0.51586306,0.51987475,0.529831,0.5674287,0
0.43089887,0.5161552,0.5197785,0.5297658,0.5679037,0
0.43094525,0.51612705,0.5197877,0.52977204,0.567858,0
0.43030015,0.5165182,0.5196588,0.5296847,0.5684937,0
0.43117094,0.51599026,0.5198328,0.5298026,0.56763554,0
0.43070042,0.5162755,0.5197388,0.5297389,0.5680993,1
0.43115908,0.5159974,0.5198305,0.529801,0.5676472,0
0.43109185,0.5160382,0.51981705,0.5297919,0.56771344,1
0.4317109,0.515663,0.5199407,0.5298757,0.5671034,0
0.43067196,0.51629275,0.5197332,0.529735,0.5681273,0
0.4308837,0.51616436,0.5197755,0.5297637,0.56791866,1
0.43019098,0.5165844,0.51963705,0.52966994,0.56860137,1
0.4306754,0.51629066,0.51973385,0.5297355,0.56812394,1
0.4309102,0.51614827,0.51978076,0.52976733,0.56789255,1
0.43021375,0.51657057,0.5196416,0.52967304,0.5685789,1
0.43099332,0.5160979,0.5197974,0.5297786,0.5678106,0
0.4313323,0.5161852,0.52026725,0.5303046,0.56775117,0
0.43063864,0.51631296,0.5197265,0.52973056,0.5681601,0
0.43057546,0.5163513,0.5197138,0.529722,0.56822234,1
0.43107772,0.51604676,0.51981425,0.52979,0.56772745,1
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,1
0.43039134,0.51646286,0.5196771,0.52969706,0.5684039,0
0.42985862,0.5167859,0.5195706,0.52962494,0.5689289,1
0.43128315,0.51592225,0.51985526,0.5298178,0.56752497,0
0.43119124,0.515978,0.5198369,0.52980536,0.56761557,0
0.43142363,0.51583713,0.51988333,0.5298368,0.5673865,1
0.43054593,0.51636916,0.51970804,0.529718,0.5682515,0
0.4296332,0.51692265,0.5195255,0.5295943,0.56915104,0
0.431483,0.5158012,0.51989514,0.5298448,0.567328,1
0.43195844,0.515513,0.5199901,0.5299092,0.5668594,1
0.43160987,0.51572424,0.5199205,0.52986205,0.567203,0
0.43183693,0.5155867,0.5199659,0.52989274,0.56697917,1
0.43054917,0.5163672,0.51970863,0.52971846,0.56824833,0
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,0
0.430898,0.5161557,0.5197783,0.5297656,0.56790453,0
0.43097237,0.51611066,0.5197932,0.52977574,0.5678312,1
0.43120056,0.51597226,0.51983875,0.5298066,0.56760633,0
0.43037122,0.516475,0.51967305,0.5296943,0.5684237,0
0.42984685,0.51679313,0.51956826,0.5296233,0.56894046,0
0.42988124,0.51677215,0.5195751,0.529628,0.5689066,0
0.43145916,0.5158156,0.5198904,0.5298416,0.5673515,0
0.4310771,0.5160471,0.51981413,0.5297899,0.56772804,1
0.4297754,0.5168364,0.51955396,0.5296136,0.5690109,1
0.43066326,0.51629806,0.51973146,0.5297339,0.56813586,0
0.42950416,0.5170009,0.5194997,0.5295769,0.5692783,1
0.43057,0.51635456,0.51971275,0.5297212,0.56822777,1
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,1
0.43015888,0.5166039,0.5196306,0.5296655,0.56863296,0
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,1
0.43087074,0.51617223,0.5197729,0.52976197,0.56793135,0
0.43168604,0.51567805,0.5199357,0.5298723,0.56712794,1
0.43180314,0.5156071,0.5199591,0.52988815,0.5670125,0
0.43083796,0.51619214,0.5197663,0.52975756,0.56796366,1
0.43028605,0.51652676,0.519656,0.5296828,0.5685076,1
0.4310197,0.5160819,0.51980263,0.5297822,0.5677846,1
0.43099782,0.51609516,0.5197983,0.5297792,0.5678062,0
0.4310944,0.5160366,0.51981753,0.5297923,0.56771094,1
0.4297693,0.5168401,0.51955277,0.5296128,0.5690169,0
0.431117,0.5160229,0.51982206,0.5297953,0.5676887,0
0.4310364,0.5160718,0.51980597,0.5297844,0.56776816,1
0.43197522,0.51550287,0.5199935,0.5299114,0.5668429,0
