Att1,Att2,Att3,Att4,Att5,target
0.43848643,0.5127902,0.50984347,0.5269915,0.48691142,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.4379022,0.5128373,0.5102897,0.52713364,0.48716277,1
0.43780872,0.51284474,0.51036114,0.5271565,0.48720297,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.4384089,0.51279646,0.5099027,0.5270104,0.48694474,1
0.43868575,0.5127742,0.5096913,0.52694297,0.48682564,1
0.4383309,0.5128028,0.5099623,0.5270294,0.48697832,1
0.4376418,0.5128582,0.5104887,0.5271971,0.48727486,1
0.43829527,0.5128056,0.5099895,0.52703804,0.4869936,0
0.43837756,0.51279896,0.5099267,0.52701795,0.48695824,1
0.43812463,0.51281935,0.5101198,0.5270796,0.48706704,0
0.43768743,0.5128545,0.51045376,0.52718604,0.48725516,0
0.43830046,0.51280516,0.5099855,0.5270367,0.4869914,1
0.43824288,0.51280975,0.51002955,0.52705073,0.4870162,0
0.4380091,0.51282865,0.5102081,0.52710766,0.48711675,1
0.43708462,0.51290303,0.5109144,0.5273328,0.48751467,0
0.4382989,0.5128053,0.5099867,0.52703714,0.4869921,1
0.43821543,0.512812,0.5100505,0.5270574,0.487028,1
0.43863422,0.5127783,0.50973064,0.52695554,0.48684782,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.43840876,0.51279646,0.50990283,0.5270104,0.4869448,0
0.43781617,0.5128442,0.5103555,0.5271547,0.48719978,0
0.43871373,0.51277196,0.50966996,0.5269362,0.48681363,0
0.43815064,0.51281726,0.5101,0.5270732,0.48705587,1
0.43733045,0.5128832,0.5107266,0.5272729,0.48740885,0
0.43824324,0.51280975,0.51002926,0.52705073,0.48701602,1
0.43729603,0.51288605,0.5107528,0.5272813,0.48742366,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43868864,0.51277393,0.50968915,0.52694225,0.4868244,0
0.43722376,0.5128918,0.51080805,0.52729887,0.48745477,0
0.43841755,0.51279575,0.5098961,0.52700824,0.48694104,1
0.43719319,0.5128943,0.5108314,0.5273063,0.4874679,0
0.4386063,0.51278055,0.509752,0.52696234,0.48685983,1
0.43866226,0.512776,0.50970924,0.5269487,0.48683578,0
0.43752474,0.51286757,0.5105781,0.52722555,0.4873252,0
0.4375531,0.5128653,0.5105564,0.52721876,0.48731297,0
0.4383442,0.5128017,0.5099521,0.52702606,0.4869726,0
0.43838266,0.51279855,0.50992274,0.52701676,0.48695603,0
0.43786827,0.51284,0.51031566,0.527142,0.48717737,0
0.43852448,0.5127871,0.5098144,0.5269822,0.48689502,0
0.438239,0.5128101,0.5100325,0.52705175,0.48701784,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.4375803,0.5128631,0.5105356,0.5272121,0.4873013,1
0.43844545,0.51279354,0.50987476,0.52700144,0.48692906,1
0.43845332,0.5127929,0.5098688,0.52699953,0.48692566,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.4373953,0.512878,0.5106769,0.5272571,0.48738092,0
0.43865687,0.5127765,0.5097133,0.52695,0.4868381,1
0.43654156,0.5129468,0.5113293,0.52746505,0.48774847,1
0.43786842,0.51284,0.5103155,0.5271419,0.48717728,0
0.4373635,0.5128806,0.5107012,0.5272649,0.48739463,0
0.43841067,0.5127963,0.50990134,0.52700996,0.486944,0
0.4377884,0.5128464,0.51037663,0.52716136,0.48721176,1
0.43837473,0.51279926,0.5099288,0.5270187,0.4869595,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43734568,0.51288205,0.5107148,0.5272692,0.48740226,0
0.4370712,0.51290417,0.51092464,0.52733606,0.48752046,1
0.43842477,0.51279515,0.50989056,0.5270065,0.48693794,0
0.43837762,0.51279896,0.5099266,0.52701795,0.48695824,0
0.43697077,0.51291215,0.51100135,0.5273605,0.48756367,0
0.43715957,0.512897,0.5108571,0.52731454,0.48748243,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,0
0.4382386,0.5128102,0.5100328,0.5270518,0.48701802,0
0.4377202,0.5128519,0.5104287,0.52717805,0.4872411,1
0.43823355,0.5128106,0.51003665,0.52705306,0.4870202,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43800348,0.51282907,0.51021236,0.527109,0.48711917,0
0.43841025,0.51279634,0.5099017,0.52701,0.48694417,1
0.43825498,0.51280886,0.5100203,0.5270478,0.48701096,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.4379079,0.51283675,0.5102854,0.5271323,0.48716033,1
0.43831882,0.51280373,0.50997156,0.52703226,0.4869835,1
0.43799618,0.51282966,0.51021796,0.5271108,0.48712233,1
0.43731222,0.5128847,0.51074046,0.52727735,0.48741668,1
0.43776804,0.512848,0.5103922,0.52716637,0.48722047,0
0.43821365,0.51281214,0.51005185,0.5270578,0.48702875,0
0.43789336,0.51283795,0.51029646,0.52713585,0.48716655,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43764222,0.51285815,0.51048833,0.527197,0.48727465,0
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43731534,0.51288444,0.510738,0.52727664,0.48741534,1
0.4386115,0.51278013,0.509748,0.526961,0.48685762,0
0.437341,0.5128824,0.51071846,0.5272703,0.4874043,1
0.43791318,0.5128364,0.5102813,0.527131,0.48715803,0
0.4377536,0.51284915,0.5104032,0.52716994,0.4872267,1
0.4379058,0.51283693,0.51028705,0.5271328,0.48716122,1
0.43712294,0.51289994,0.51088506,0.5273234,0.48749816,0
0.43820536,0.51281285,0.51005816,0.52705985,0.48703232,0
0.43875805,0.5127683,0.5096361,0.5269254,0.48679456,0
0.43667707,0.5129358,0.51122576,0.527432,0.48769015,0
0.43822563,0.51281124,0.51004267,0.52705497,0.48702362,0
0.4384655,0.5127919,0.50985956,0.5269966,0.4869204,1
0.43877494,0.51276696,0.5096232,0.5269213,0.4867873,1
0.43836483,0.51280004,0.5099364,0.52702105,0.4869637,0
